date,pm25,pm10,no2,so2,co,o3,aqi,aqi_class,aqi_7d_avg,year,month,season
2005-01-01,54.4,86.1,35.0,9.7,1.65,26.1,53.0,Moderate,53.0,2005,1,Winter
2005-01-02,45.7,71.8,28.0,4.5,1.39,33.3,45.0,Good,49.0,2005,1,Winter
2005-01-03,50.8,89.9,39.5,9.2,1.54,26.9,52.0,Moderate,50.0,2005,1,Winter
2005-01-04,53.4,96.4,39.7,13.0,1.59,25.8,55.0,Moderate,51.2,2005,1,Winter
2005-01-05,47.2,82.1,33.7,9.1,1.29,29.2,48.0,Good,50.6,2005,1,Winter
2005-01-06,40.7,73.2,32.0,12.8,1.39,25.2,43.0,Good,49.3,2005,1,Winter
2005-01-07,51.6,82.1,33.6,9.6,1.61,37.1,51.0,Moderate,49.6,2005,1,Winter
2005-01-08,44.8,78.0,33.8,8.8,1.95,16.8,45.0,Good,48.4,2005,1,Winter
2005-01-09,49.6,90.7,37.7,9.8,1.18,33.7,52.0,Moderate,49.4,2005,1,Winter
2005-01-10,29.7,51.0,30.0,9.6,1.62,33.8,33.0,Good,46.7,2005,1,Winter
2005-01-11,47.9,88.2,32.3,9.5,1.79,29.0,50.0,Good,46.0,2005,1,Winter
2005-01-12,40.3,69.6,33.9,8.3,1.51,21.4,42.0,Good,45.1,2005,1,Winter
2005-01-13,56.4,94.0,35.6,6.8,1.26,33.8,56.0,Moderate,47.0,2005,1,Winter
2005-01-14,49.2,81.2,38.1,10.6,1.48,29.4,50.0,Good,46.9,2005,1,Winter
2005-01-15,46.5,79.3,35.8,9.7,1.25,28.6,48.0,Good,47.3,2005,1,Winter
2005-01-16,48.2,72.9,41.6,12.8,1.36,37.8,49.0,Good,46.9,2005,1,Winter
2005-01-17,37.8,69.4,30.6,9.4,1.59,39.3,42.0,Good,48.1,2005,1,Winter
2005-01-18,56.2,108.0,40.4,6.5,1.47,29.5,59.0,Moderate,49.4,2005,1,Winter
