date,temperature_max,temperature_min,temperature_mean,rainfall,wind_speed,apparent_temp,humidity,pressure,solar,year,month,day,doy,season,temp_class,rain_class,flood_risk,season_Winter,season_Summer,season_Southwest_Monsoon,season_Post-Monsoon,temperature_mean_7d_avg,temperature_mean_30d_avg,rainfall_7d_avg,rainfall_30d_avg,humidity_7d_avg,humidity_30d_avg,pm25,pm10,no2,so2,co,o3,aqi,aqi_class,aqi_7d_avg,health_risk,dengue_risk,heat_index,discomfort_index,rainfall_anomaly,uhi_score,pollution_severity,aqi_ordinal,season_code,health_risk_ordinal,flood_risk_ordinal,dengue_risk_ordinal,temp_class_ordinal,rain_class_ordinal,temperature_mean_lag1,temperature_mean_lag7,rainfall_lag1,rainfall_lag7,aqi_lag1,aqi_lag7,humidity_lag1,humidity_lag7
2005-01-01,26.1,17.7,21.5,5.4,11.9,22.6,65.27,970.0,3.8734,2005,1,1,1,Winter,Normal,Light,Medium,1,0,0,0,21.5,21.5,5.4,5.4,65.27,65.27,54.4,86.1,35.0,9.7,1.65,26.1,53.0,Moderate,53.0,Moderate,Low,21.5,20.16,0.0,0.0,0.151,1,0,1,1,0,0,1,21.5,21.5,5.4,5.4,53.0,53.0,65.27,65.27
2005-01-02,27.0,16.7,21.4,2.8,10.1,22.5,71.19,970.0,5.0582,2005,1,2,2,Winter,Normal,Light,Medium,1,0,0,0,21.45,21.45,4.1,4.1,68.23,68.23,45.7,71.8,28.0,4.5,1.39,33.3,45.0,Good,49.0,Moderate,Low,21.4,20.31,-0.707,0.0,0.127,0,0,1,1,0,0,1,21.5,21.5,5.4,5.4,53.0,53.0,65.27,65.27
2005-01-03,28.0,17.3,22.2,0.0,11.2,22.7,75.91,970.0,4.9224,2005,1,3,3,Winter,Normal,No Rain,Medium,1,0,0,0,21.7,21.7,2.73,2.73,70.79,70.79,50.8,89.9,39.5,9.2,1.54,26.9,52.0,Moderate,50.0,Moderate,Low,22.2,21.18,-1.012,0.0,0.143,1,0,1,1,0,0,0,21.4,21.5,2.8,5.4,45.0,53.0,71.19,65.27
2005-01-04,28.4,16.4,21.7,0.0,13.5,21.0,64.34,970.0,5.7468,2005,1,4,4,Winter,Normal,No Rain,Medium,1,0,0,0,21.7,21.7,2.05,2.05,69.18,69.18,53.4,96.4,39.7,13.0,1.59,25.8,55.0,Moderate,51.2,Moderate,Low,21.7,20.29,-0.79,0.0,0.151,1,0,1,1,0,0,0,22.2,21.5,0.0,5.4,52.0,53.0,75.91,65.27
2005-01-05,27.7,14.3,20.6,0.0,13.2,19.0,58.56,970.0,6.0667,2005,1,5,5,Winter,Normal,No Rain,Medium,1,0,0,0,21.48,21.48,1.64,1.64,67.05,67.05,47.2,82.1,33.7,9.1,1.29,29.2,48.0,Good,50.6,Moderate,Low,20.6,19.21,-0.676,0.0,0.133,0,0,1,1,0,0,0,21.7,21.5,0.0,5.4,55.0,53.0,64.34,65.27
2005-01-06,27.6,13.4,20.1,0.0,16.0,18.8,64.2,970.0,5.9566,2005,1,6,6,Winter,Normal,No Rain,Medium,1,0,0,0,21.25,21.25,1.37,1.37,66.58,66.58,40.7,73.2,32.0,12.8,1.39,25.2,43.0,Good,49.3,Moderate,Low,20.1,19.0,-0.602,0.0,0.116,0,0,1,1,0,0,0,20.6,21.5,0.0,5.4,48.0,53.0,58.56,65.27
2005-01-07,27.8,13.7,20.2,0.0,14.0,19.4,66.22,970.0,5.9482,2005,1,7,7,Winter,Normal,No Rain,Medium,1,0,0,0,21.1,21.1,1.17,1.17,66.53,66.53,51.6,82.1,33.6,9.6,1.61,37.1,51.0,Moderate,49.6,Moderate,Low,20.2,19.14,-0.548,0.0,0.144,1,0,1,1,0,0,0,20.1,21.5,0.0,5.4,43.0,53.0,64.2,65.27
2005-01-08,26.8,14.3,20.2,0.0,15.0,19.4,65.94,970.0,4.9668,2005,1,8,8,Winter,Normal,No Rain,Medium,1,0,0,0,20.91,20.99,0.4,1.02,66.62,66.45,44.8,78.0,33.8,8.8,1.95,16.8,45.0,Good,48.4,Moderate,Low,20.2,19.13,-0.507,0.0,0.126,0,0,1,1,0,0,0,20.2,21.5,0.0,5.4,51.0,53.0,66.22,65.27
2005-01-09,27.7,14.5,20.6,0.0,12.9,19.2,64.37,970.0,4.4748,2005,1,9,9,Winter,Normal,No Rain,Medium,1,0,0,0,20.8,20.94,0.0,0.91,65.65,66.22,49.6,90.7,37.7,9.8,1.18,33.7,52.0,Moderate,49.4,Moderate,Low,20.6,19.4,-0.474,0.0,0.141,1,0,1,1,0,0,0,20.2,21.4,0.0,2.8,45.0,45.0,65.94,71.19
2005-01-10,28.4,12.9,20.5,0.0,9.3,19.7,57.77,970.0,5.9885,2005,1,10,10,Winter,Normal,No Rain,Medium,1,0,0,0,20.56,20.9,0.0,0.82,63.06,65.38,29.7,51.0,30.0,9.6,1.62,33.8,33.0,Good,46.7,Moderate,Low,20.5,19.11,-0.447,0.0,0.086,0,0,1,1,0,0,0,20.6,22.2,0.0,0.0,52.0,52.0,64.37,75.91
