date,temperature_max,temperature_min,temperature_mean,rainfall,wind_speed,apparent_temp,humidity,pressure,solar,year,month,day,doy,season,temp_class,rain_class,flood_risk,season_Winter,season_Summer,season_Southwest_Monsoon,season_Post-Monsoon,temperature_mean_7d_avg,temperature_mean_30d_avg,rainfall_7d_avg,rainfall_30d_avg,humidity_7d_avg,humidity_30d_avg
2005-01-01,26.1,17.7,21.5,5.4,11.9,22.6,65.27,970.0,3.8734,2005,1,1,1,Winter,Normal,Light,Medium,1,0,0,0,21.5,21.5,5.4,5.4,65.27,65.27
2005-01-02,27.0,16.7,21.4,2.8,10.1,22.5,71.19,970.0,5.0582,2005,1,2,2,Winter,Normal,Light,Medium,1,0,0,0,21.45,21.45,4.1,4.1,68.23,68.23
2005-01-03,28.0,17.3,22.2,0.0,11.2,22.7,75.91,970.0,4.9224,2005,1,3,3,Winter,Normal,No Rain,Medium,1,0,0,0,21.7,21.7,2.73,2.73,70.79,70.79
2005-01-04,28.4,16.4,21.7,0.0,13.5,21.0,64.34,970.0,5.7468,2005,1,4,4,Winter,Normal,No Rain,Medium,1,0,0,0,21.7,21.7,2.05,2.05,69.18,69.18
2005-01-05,27.7,14.3,20.6,0.0,13.2,19.0,58.56,970.0,6.0667,2005,1,5,5,Winter,Normal,No Rain,Medium,1,0,0,0,21.48,21.48,1.64,1.64,67.05,67.05
2005-01-06,27.6,13.4,20.1,0.0,16.0,18.8,64.2,970.0,5.9566,2005,1,6,6,Winter,Normal,No Rain,Medium,1,0,0,0,21.25,21.25,1.37,1.37,66.58,66.58
2005-01-07,27.8,13.7,20.2,0.0,14.0,19.4,66.22,970.0,5.9482,2005,1,7,7,Winter,Normal,No Rain,Medium,1,0,0,0,21.1,21.1,1.17,1.17,66.53,66.53
2005-01-08,26.8,14.3,20.2,0.0,15.0,19.4,65.94,970.0,4.9668,2005,1,8,8,Winter,Normal,No Rain,Medium,1,0,0,0,20.91,20.99,0.4,1.02,66.62,66.45
2005-01-09,27.7,14.5,20.6,0.0,12.9,19.2,64.37,970.0,4.4748,2005,1,9,9,Winter,Normal,No Rain,Medium,1,0,0,0,20.8,20.94,0.0,0.91,65.65,66.22
2005-01-10,28.4,12.9,20.5,0.0,9.3,19.7,57.77,970.0,5.9885,2005,1,10,10,Winter,Normal,No Rain,Medium,1,0,0,0,20.56,20.9,0.0,0.82,63.06,65.38
2005-01-11,29.2,13.3,21.3,0.0,9.7,20.3,57.68,970.0,5.935,2005,1,11,11,Winter,Normal,No Rain,Medium,1,0,0,0,20.5,20.94,0.0,0.75,62.11,64.68
2005-01-12,29.1,13.9,21.6,0.0,11.9,20.6,53.73,970.0,5.7706,2005,1,12,12,Winter,Normal,No Rain,Medium,1,0,0,0,20.64,20.99,0.0,0.68,61.42,63.76
2005-01-13,28.1,14.0,20.9,0.0,12.3,20.1,60.24,970.0,5.9112,2005,1,13,13,Winter,Normal,No Rain,Medium,1,0,0,0,20.76,20.98,0.0,0.63,60.85,63.49
2005-01-14,28.0,13.9,20.5,0.0,12.9,19.6,63.31,970.0,5.9779,2005,1,14,14,Winter,Normal,No Rain,Medium,1,0,0,0,20.8,20.95,0.0,0.59,60.43,63.48
2005-01-15,28.0,15.0,20.5,0.0,13.6,19.6,59.37,970.0,6.0094,2005,1,15,15,Winter,Normal,No Rain,Medium,1,0,0,0,20.84,20.92,0.0,0.55,59.5,63.21
