date,temperature_max,temperature_min,temperature_mean,rainfall,wind_speed,apparent_temp,humidity,pressure,solar,year,month,day,doy,season
2005-01-01,26.1,17.7,21.5,5.4,11.9,22.6,65.27,970.0,3.8734,2005,1,1,1,Winter
2005-01-02,27.0,16.7,21.4,2.8,10.1,22.5,71.19,970.0,5.0582,2005,1,2,2,Winter
2005-01-03,28.0,17.3,22.2,0.0,11.2,22.7,75.91,970.0,4.9224,2005,1,3,3,Winter
2005-01-04,28.4,16.4,21.7,0.0,13.5,21.0,64.34,970.0,5.7468,2005,1,4,4,Winter
2005-01-05,27.7,14.3,20.6,0.0,13.2,19.0,58.56,970.0,6.0667,2005,1,5,5,Winter
2005-01-06,27.6,13.4,20.1,0.0,16.0,18.8,64.2,970.0,5.9566,2005,1,6,6,Winter
2005-01-07,27.8,13.7,20.2,0.0,14.0,19.4,66.22,970.0,5.9482,2005,1,7,7,Winter
2005-01-08,26.8,14.3,20.2,0.0,15.0,19.4,65.94,970.0,4.9668,2005,1,8,8,Winter
2005-01-09,27.7,14.5,20.6,0.0,12.9,19.2,64.37,970.0,4.4748,2005,1,9,9,Winter
2005-01-10,28.4,12.9,20.5,0.0,9.3,19.7,57.77,970.0,5.9885,2005,1,10,10,Winter
2005-01-11,29.2,13.3,21.3,0.0,9.7,20.3,57.68,970.0,5.935,2005,1,11,11,Winter
2005-01-12,29.1,13.9,21.6,0.0,11.9,20.6,53.73,970.0,5.7706,2005,1,12,12,Winter
2005-01-13,28.1,14.0,20.9,0.0,12.3,20.1,60.24,970.0,5.9112,2005,1,13,13,Winter
2005-01-14,28.0,13.9,20.5,0.0,12.9,19.6,63.31,970.0,5.9779,2005,1,14,14,Winter
2005-01-15,28.0,15.0,20.5,0.0,13.6,19.6,59.37,970.0,6.0094,2005,1,15,15,Winter
2005-01-16,27.7,12.8,19.8,0.0,12.9,18.9,59.33,970.0,5.9945,2005,1,16,16,Winter
2005-01-17,28.0,14.9,21.2,0.0,12.6,21.4,66.0,970.0,5.407,2005,1,17,17,Winter
2005-01-18,28.4,17.1,22.3,0.0,12.3,23.1,65.58,970.0,5.2246,2005,1,18,18,Winter
2005-01-19,28.1,17.3,22.4,0.0,15.0,22.9,67.71,970.0,4.8098,2005,1,19,19,Winter
2005-01-20,28.3,17.2,22.1,0.0,16.0,21.7,60.12,970.0,5.8937,2005,1,20,20,Winter
2005-01-21,28.5,15.7,21.5,0.0,17.3,21.0,64.15,970.0,6.0485,2005,1,21,21,Winter
2005-01-22,27.3,17.9,22.1,0.0,15.4,22.1,67.79,970.0,5.1338,2005,1,22,22,Winter
2005-01-23,26.8,18.3,22.1,0.1,14.8,22.6,65.63,970.0,5.2493,2005,1,23,23,Winter
2005-01-24,28.9,17.2,22.9,0.0,14.2,23.1,65.73,970.0,5.4089,2005,1,24,24,Winter
2005-01-25,29.1,17.1,22.6,0.0,14.8,22.7,59.68,970.0,5.9472,2005,1,25,25,Winter
2005-01-26,28.6,17.3,22.6,0.0,13.2,23.3,59.81,970.0,5.7113,2005,1,26,26,Winter
2005-01-27,27.5,17.0,22.2,0.2,12.2,22.8,64.03,970.0,5.016,2005,1,27,27,Winter
2005-01-28,26.6,17.7,22.2,0.0,9.0,23.2,66.77,970.0,4.4398,2005,1,28,28,Winter
2005-01-29,27.7,17.2,22.1,0.0,14.0,21.9,60.9,970.0,6.0809,2005,1,29,29,Winter
2005-01-30,27.3,17.3,21.6,0.0,14.1,21.3,65.34,970.0,4.5602,2005,1,30,30,Winter
2005-01-31,23.2,17.4,20.2,4.2,12.9,21.2,76.89,970.0,2.8039,2005,1,31,31,Winter
2005-02-01,26.2,17.8,21.1,1.4,7.8,22.9,84.53,970.0,3.7716,2005,2,1,32,Winter
2005-02-02,26.2,18.4,21.6,1.5,11.9,22.8,70.37,970.0,5.22,2005,2,2,33,Winter
