date,temp_nasa,rh_nasa,wind_nasa,solar_nasa
2020-01-01,22.9,74.47,3.41,3.2345
2020-01-02,23.45,73.02,3.31,4.0279
2020-01-03,23.88,72.03,2.72,4.9488
2020-01-04,24.38,72.06,2.04,4.745
2020-01-05,24.15,74.21,2.63,4.6673
2020-01-06,23.64,72.34,4.55,3.7903
2020-01-07,22.47,70.75,4.36,4.9126
2020-01-08,22.33,69.04,2.82,5.6791
2020-01-09,22.58,69.05,2.56,5.4005
2020-01-10,21.96,71.28,4.44,5.5524
2020-01-11,21.19,65.59,4.24,6.0418
2020-01-12,21.36,68.71,3.89,5.4324
2020-01-13,21.96,68.12,1.9,5.1994
2020-01-14,21.46,63.42,2.89,5.7816
2020-01-15,20.44,60.38,3.52,5.9974
2020-01-16,20.43,64.36,3.36,5.9659
2020-01-17,21.52,66.75,3.71,5.8462
2020-01-18,23.1,71.85,4.33,4.3253
2020-01-19,23.48,68.94,3.46,5.0335
2020-01-20,23.02,61.73,4.01,5.8985
2020-01-21,21.87,59.43,4.22,6.1747
2020-01-22,21.97,64.36,4.73,6.1577
2020-01-23,22.6,62.42,4.38,6.0622
2020-01-24,22.12,56.4,3.85,6.3374
2020-01-25,21.42,50.77,3.33,6.4589
2020-01-26,22.09,54.92,3.19,6.4049
2020-01-27,22.83,54.76,3.07,6.1754
2020-01-28,23.76,56.05,3.32,5.9141
2020-01-29,23.81,56.6,2.84,6.2148
2020-01-30,24.26,55.7,2.26,6.2995
2020-01-31,24.1,56.0,3.18,6.3
2020-02-01,23.78,60.85,4.82,5.8836
2020-02-02,23.64,58.44,4.84,5.9791
2020-02-03,23.56,55.58,4.11,6.4126
2020-02-04,23.61,57.31,4.07,6.3211
2020-02-05,23.76,57.31,3.69,5.4391
2020-02-06,24.04,54.94,3.1,5.6782
2020-02-07,24.51,56.61,3.74,5.3182
2020-02-08,25.4,51.98,2.75,5.8445
2020-02-09,24.3,58.96,4.58,5.4271
2020-02-10,24.52,55.74,5.19,5.7974
2020-02-11,24.09,55.04,5.51,6.5021
2020-02-12,23.36,52.52,4.79,5.7079
2020-02-13,23.71,50.17,3.77,6.575
2020-02-14,24.31,48.29,2.59,6.4553
2020-02-15,24.72,39.26,2.66,6.6122
2020-02-16,24.08,37.45,3.98,6.8246
2020-02-17,23.31,36.45,3.88,7.0543
2020-02-18,23.72,45.81,4.32,7.0087
2020-02-19,24.3,52.06,3.77,6.5297
2020-02-20,24.14,46.66,4.42,6.9444
2020-02-21,23.92,44.1,4.33,7.0771
2020-02-22,24.36,52.06,4.39,6.84
2020-02-23,25.06,49.12,4.18,6.1128
2020-02-24,25.39,50.2,4.23,5.2531
2020-02-25,25.86,49.88,3.09,6.7718
2020-02-26,26.47,52.76,3.94,6.2582
2020-02-27,25.84,55.98,3.65,5.3878
2020-02-28,26.17,52.54,4.47,5.447
2020-02-29,26.53,50.11,3.82,6.1402
2020-03-01,26.96,49.61,3.77,6.161
2020-03-02,26.22,52.17,2.31,4.2005
2020-03-03,27.66,47.46,2.23,5.651
2020-03-04,27.98,47.82,1.39,5.3194
2020-03-05,27.55,50.19,3.95,5.7499
2020-03-06,27.23,52.74,3.38,5.5457
2020-03-07,25.12,64.66,3.49,5.0498
2020-03-08,27.45,56.57,3.39,5.7888
2020-03-09,27.77,51.25,3.36,5.6388
2020-03-10,27.82,41.35,3.8,6.5527
2020-03-11,27.55,45.62,3.4,6.6698
2020-03-12,27.49,38.87,3.69,6.8359
2020-03-13,26.77,37.82,4.27,7.1986
2020-03-14,27.04,46.07,4.01,7.3507
2020-03-15,27.67,48.5,4.27,7.1602
2020-03-16,27.78,47.28,4.45,7.051
2020-03-17,27.15,44.42,5.09,7.4098
2020-03-18,26.86,39.12,4.3,7.5163
2020-03-19,27.67,36.58,2.98,7.2842
2020-03-20,27.68,41.86,2.96,5.5891
2020-03-21,28.43,38.96,2.59,6.6432
2020-03-22,29.08,39.06,2.54,6.5832
2020-03-23,28.9,40.77,3.49,5.2282
2020-03-24,28.3,39.59,3.96,6.7022
2020-03-25,27.52,46.03,4.21,6.0314
2020-03-26,27.58,44.67,4.73,6.7706
2020-03-27,26.97,45.85,4.39,7.1666
2020-03-28,26.95,36.73,4.15,7.4393
2020-03-29,27.1,32.77,3.99,7.5754
2020-03-30,27.53,32.87,4.73,7.644
2020-03-31,27.62,34.73,4.49,7.5634
2020-04-01,28.3,37.97,4.14,7.5744
2020-04-02,29.21,38.23,4.02,7.321
2020-04-03,28.88,39.58,4.57,7.3682
2020-04-04,28.27,41.6,3.85,7.6745
2020-04-05,29.15,47.38,3.98,7.2406
2020-04-06,28.42,53.76,2.53,5.9726
2020-04-07,24.66,64.53,2.69,4.3315
2020-04-08,27.53,53.9,1.25,6.0852
2020-04-09,26.7,61.57,3.08,6.3835
2020-04-10,26.86,55.4,3.79,6.0046
2020-04-11,26.52,55.21,4.05,7.0644
2020-04-12,27.21,47.92,3.83,7.278
2020-04-13,27.78,41.07,4.66,7.3046
2020-04-14,27.54,35.37,5.29,7.7126
2020-04-15,27.19,38.87,3.94,7.7942
2020-04-16,28.34,45.84,4.12,7.4592
2020-04-17,29.48,46.87,4.39,7.0402
2020-04-18,29.78,45.41,4.85,6.6456
2020-04-19,29.34,46.8,5.14,7.0226
2020-04-20,28.78,45.44,4.84,7.5646
2020-04-21,28.88,39.62,3.35,7.5672
2020-04-22,29.84,46.22,3.3,6.6914
2020-04-23,30.2,47.33,2.8,6.5873
2020-04-24,28.8,55.44,2.37,5.1761
2020-04-25,27.87,62.28,2.28,5.5548
2020-04-26,28.37,56.88,4.01,5.6143
2020-04-27,27.47,60.22,2.72,5.5222
2020-04-28,26.61,71.49,2.93,5.7866
2020-04-29,23.42,79.26,3.56,3.0828
2020-04-30,27.24,60.38,2.97,6.9223
2020-05-01,27.99,60.05,2.57,6.5638
2020-05-02,28.72,57.0,2.34,6.0583
2020-05-03,28.56,55.36,2.84,6.4217
2020-05-04,29.79,49.48,3.07,7.0392
2020-05-05,29.44,50.8,3.22,6.9972
2020-05-06,28.44,55.64,3.07,6.0559
2020-05-07,28.37,59.4,1.97,5.755
2020-05-08,28.37,57.61,2.84,6.0317
2020-05-09,29.52,49.17,4.02,7.2509
2020-05-10,28.75,49.7,4.43,6.8566
2020-05-11,28.58,49.49,4.32,5.9592
2020-05-12,27.77,53.57,3.62,6.3485
2020-05-13,29.06,39.19,3.02,6.1896
2020-05-14,29.42,46.45,3.53,6.5933
2020-05-15,30.03,39.97,3.54,6.3679
2020-05-16,30.25,40.33,3.96,5.1895
2020-05-17,28.65,54.06,3.06,5.4322
2020-05-18,25.75,70.22,7.26,5.0626
2020-05-19,27.45,61.87,7.48,5.5555
2020-05-20,28.54,57.06,5.9,6.1322
2020-05-21,28.75,55.83,4.87,6.667
2020-05-22,28.85,49.33,5.08,6.456
2020-05-23,30.62,42.06,2.43,6.2522
2020-05-24,30.82,45.97,3.32,6.7138
2020-05-25,28.98,61.46,2.11,6.6365
2020-05-26,28.8,64.73,2.39,6.6386
2020-05-27,27.39,73.56,2.63,5.9909
2020-05-28,27.16,71.57,2.63,6.6722
2020-05-29,24.53,80.29,3.46,6.8846
2020-05-30,25.68,72.94,1.9,5.6004
2020-05-31,26.36,70.31,3.32,6.1913
2020-06-01,25.15,77.56,3.35,5.7701
2020-06-02,25.15,72.43,4.22,5.6009
2020-06-03,24.3,77.64,4.88,5.4535
2020-06-04,24.02,78.72,4.83,5.5493
2020-06-05,25.25,71.74,4.64,6.0542
2020-06-06,24.44,75.63,4.44,5.9801
2020-06-07,25.87,66.94,5.2,5.5471
2020-06-08,25.05,65.29,5.84,6.5184
2020-06-09,25.28,60.98,5.5,6.091
2020-06-10,25.65,69.2,6.42,5.3026
2020-06-11,23.66,79.47,6.47,4.2274
2020-06-12,23.45,74.27,7.75,4.4018
2020-06-13,24.58,67.73,7.46,5.04
2020-06-14,24.0,70.56,8.04,5.4034
2020-06-15,25.78,69.53,6.74,5.6966
2020-06-16,25.49,71.59,6.63,5.1852
2020-06-17,24.61,75.14,6.0,4.1702
2020-06-18,24.59,71.15,6.16,4.1693
2020-06-19,24.38,70.6,5.54,5.6662
2020-06-20,24.55,68.52,5.54,5.6314
2020-06-21,25.11,69.26,5.4,5.694
2020-06-22,24.33,70.86,5.9,5.8495
