year,ndvi,ndbi,ndwi,lst,built_up_pct,vegetation_pct,water_pct,bare_land_pct
2005,0.519,0.2,0.304,27.69,36.7,21.8,3.59,37.9
2006,0.576,0.209,0.285,28.12,39.7,21.9,3.36,35.1
2007,0.539,0.223,0.291,27.63,40.7,21.6,3.17,34.5
2008,0.52,0.234,0.271,28.05,42.3,20.8,3.03,33.9
2009,0.495,0.243,0.247,28.82,44.1,21.0,3.38,31.6
2010,0.507,0.235,0.261,28.42,46.8,19.8,2.55,30.9
2011,0.456,0.258,0.245,28.3,48.3,18.3,2.83,30.6
2012,0.501,0.265,0.246,28.24,48.4,17.9,2.75,30.9
2013,0.475,0.293,0.236,28.1,49.6,17.8,2.17,30.4
2014,0.44,0.294,0.214,29.11,53.6,16.3,2.78,27.3
2015,0.459,0.319,0.236,29.65,55.0,16.1,2.45,26.4
2016,0.383,0.3,0.206,28.72,57.0,16.0,2.44,24.5
2017,0.386,0.317,0.215,28.24,58.0,16.1,2.33,23.6
2018,0.395,0.339,0.189,29.66,60.4,14.6,2.26,22.8
2019,0.384,0.335,0.188,28.76,58.4,14.1,2.13,25.4
2020,0.379,0.354,0.183,29.36,62.2,13.7,2.02,22.1
2021,0.362,0.354,0.152,29.49,63.2,12.0,1.83,23.0
2022,0.371,0.382,0.158,29.81,67.5,12.1,1.84,18.5
2023,0.305,0.366,0.159,29.35,65.9,11.3,2.07,20.7
2024,0.284,0.409,0.149,29.71,67.4,11.5,1.25,19.8
2025,0.282,0.408,0.141,29.47,69.8,10.4,1.41,18.5
2026,0.272,0.415,0.141,28.88,71.5,10.6,1.37,16.5
