year,ward,lat,lon,avg_temp,annual_rainfall,avg_aqi,ndvi,buildup_pct,flood_risk,health_risk,dengue_risk,population_den
2022,Yelahanka,12.7991,77.4241,28.93,936.2,58.9,0.371,49.4,High,Low,High,19392.0
2022,Hebbal,13.0119,77.3832,28.25,1005.2,61.3,0.343,50.0,Low,Severe,Low,20129.0
2022,Sadashivanagar,13.1576,77.3993,28.82,1108.9,60.3,0.332,46.4,Low,High,Low,10504.0
2022,Rajajinagar,13.0234,77.8009,29.19,1077.4,71.1,0.307,44.5,High,Severe,High,11370.0
2022,Malleswaram,12.8896,77.7123,29.96,934.8,62.5,0.352,57.5,Low,Low,Low,25854.0
2022,Shivajinagar,13.047,77.7967,28.69,983.5,31.3,0.387,42.1,Medium,High,Medium,25163.0
2022,Cubbon Park,12.7971,77.4301,28.68,1007.8,62.0,0.373,56.7,High,Moderate,High,27686.0
2022,MG Road,12.9891,77.6326,30.72,990.5,84.3,0.293,59.5,High,Moderate,High,16756.0
2022,Koramangala,12.9405,77.4161,29.35,923.0,70.5,0.285,50.1,High,High,Low,25697.0
2022,BTM Layout,12.8924,77.391,29.11,809.4,73.5,0.327,51.0,Low,High,High,23784.0
2022,Jayanagar,13.0592,77.5863,30.85,901.6,78.2,0.38,55.0,Low,Low,Low,24941.0
2022,JP Nagar,12.7863,77.6663,29.1,971.9,50.8,0.371,52.5,Medium,High,High,31241.0
2022,Banashankari,12.9683,77.4073,30.05,959.2,56.9,0.304,50.5,Low,High,Medium,12270.0
2022,Kengeri,13.1096,77.5413,30.44,1078.0,66.1,0.299,40.5,Low,Low,High,16058.0
2022,RR Nagar,12.8228,77.4192,28.56,866.0,69.7,0.392,41.6,High,Low,High,16752.0
2022,Vijayanagar,12.8504,77.54,29.69,1132.7,70.1,0.346,48.0,Medium,Moderate,Low,14504.0
2022,Peenya,13.0245,77.5888,30.68,936.7,72.8,0.202,65.4,Low,Moderate,High,20833.0
2022,Yeshwanthpur,13.0737,77.5291,29.96,890.3,65.9,0.32,51.5,Low,Moderate,High,16416.0
2022,Mahalakshmi Layout,12.8587,77.6352,30.78,946.5,57.3,0.311,57.9,Medium,Low,High,22956.0
2022,Basavanagudi,12.8923,77.6389,30.66,941.8,70.6,0.277,55.4,Low,Low,Medium,9913.0
2022,Lalbagh,13.0593,77.5271,30.23,1068.6,70.6,0.307,61.8,Medium,Moderate,Medium,29802.0
2022,Richmond Town,12.8596,77.5522,29.81,963.2,72.7,0.268,57.5,Medium,Low,High,25643.0
2022,Indiranagar,13.0269,77.5751,30.69,927.5,71.9,0.207,61.5,High,Severe,Low,19391.0
2022,Whitefield,12.804,77.546,29.61,939.2,70.7,0.358,49.5,High,Low,Low,25608.0
2022,Marathahalli,12.9149,77.7171,29.8,946.5,81.0,0.334,54.8,Medium,Moderate,Medium,32366.0
2022,Electronic City,13.0368,77.4413,30.01,952.7,64.6,0.272,59.8,Medium,High,Medium,26808.0
2022,HSR Layout,12.9363,77.76,29.36,811.1,57.7,0.297,53.6,Low,Low,High,16467.0
2022,Bommanahalli,12.7427,77.5263,29.33,1036.6,63.5,0.382,47.0,Low,Low,Low,9850.0
2022,Bellandur,12.9128,77.7008,30.95,1015.9,48.7,0.339,49.3,Low,Low,Medium,25749.0
2022,KR Puram,12.8609,77.7718,28.72,886.0,56.5,0.347,57.4,Medium,Moderate,Medium,18686.0
2023,Yelahanka,12.7991,77.4241,28.8,890.4,53.3,0.396,55.0,High,Low,Low,22516.0
2023,Hebbal,13.0119,77.3832,29.24,907.4,59.8,0.343,51.5,Low,High,Medium,12259.0
2023,Sadashivanagar,13.1576,77.3993,29.39,842.1,37.4,0.293,49.6,High,High,High,10797.0
2023,Rajajinagar,13.0234,77.8009,28.95,995.2,54.6,0.388,44.7,Low,High,Medium,24330.0
2023,Malleswaram,12.8896,77.7123,29.71,897.1,61.0,0.294,43.1,Low,Low,High,19437.0
2023,Shivajinagar,13.047,77.7967,29.08,948.9,60.8,0.356,42.9,Medium,Moderate,High,19930.0
2023,Cubbon Park,12.7971,77.4301,28.82,851.3,78.4,0.397,49.0,Low,High,High,22918.0
2023,MG Road,12.9891,77.6326,30.73,928.9,77.2,0.204,68.7,Low,High,Low,26416.0
2023,Koramangala,12.9405,77.4161,29.09,885.2,43.7,0.311,59.8,Low,Moderate,Low,31798.0
2023,BTM Layout,12.8924,77.391,28.86,1079.1,62.5,0.316,60.0,High,Moderate,Medium,12298.0
2023,Jayanagar,13.0592,77.5863,30.3,875.1,82.5,0.286,60.7,Medium,High,Low,14019.0
2023,JP Nagar,12.7863,77.6663,30.18,906.8,52.4,0.342,52.4,Medium,High,High,21754.0
2023,Banashankari,12.9683,77.4073,28.84,810.7,60.9,0.344,54.0,High,High,Low,10927.0
2023,Kengeri,13.1096,77.5413,29.45,831.6,72.3,0.298,59.9,High,Low,Medium,32287.0
2023,RR Nagar,12.8228,77.4192,29.06,972.4,48.9,0.364,52.6,High,Moderate,Medium,19645.0
